year,primary,leader
2020,33.4,Alistair Coe
2016,36.7,Jeremy Hanson
2012,38.9,Zed Seselja
2008,31.6,Zed Seselja
2004,34.8,Brendan Smyth
2001,31.6,Gary Humphries
1998,37.8,Kate Carnell
1995,40.5,Kate Carnell
